date value parameter land_use
2012-1-15 0 dailySurplus loc1
2012-1-15 7.88835 availablePoreDepth loc1
2012-1-15 111.111 EHD loc1
2012-1-15 2140.26 SD loc1
2012-1-15 -2.25137 G loc1
2012-1-15 0.379005 theta_EHD loc1
2012-1-15 42.1116 sw_EHD loc1
2012-1-15 0.276029 theta_soil loc1
2012-1-15 0.0616645 dsc loc1
2012-1-15 0 infil2 loc2
2012-1-15 0 infil loc2
2012-1-15 0 toDistribute loc2
2012-1-15 0 dailySurplus loc2
2012-1-15 36.0437 availablePoreDepth loc2
2012-1-15 250 EHD loc2
2012-1-15 3569.46 SD loc2
2012-1-15 -3.81946 G loc2
2012-1-15 0.355825 theta_EHD loc2
2012-1-15 88.9563 sw_EHD loc2
2012-1-15 0.344296 theta_soil loc2
2012-1-15 0 dsc loc2
2012-1-15 0 infil2 loc3
2012-1-15 0 infil loc3
2012-1-15 0 toDistribute loc3
2012-1-15 0 dailySurplus loc3
2012-1-15 225 availablePoreDepth loc3
2012-1-15 500 EHD loc3
2012-1-15 3583.44 SD loc3
2012-1-15 -4.08344 G loc3
2012-1-15 0.45 theta_EHD loc3
2012-1-15 225 sw_EHD loc3
2012-1-15 0.449875 theta_soil loc3
2012-1-15 0 dsc loc3
2012-1-16 0 infil2 loc1
2012-1-16 0 infil loc1
2012-1-16 0 toDistribute loc1
2012-1-16 0 dailySurplus loc1
2012-1-16 7.88835 availablePoreDepth loc1
2012-1-16 111.111 EHD loc1
2012-1-16 2140.22 SD loc1
2012-1-16 -2.25133 G loc1
2012-1-16 0.379005 theta_EHD loc1
2012-1-16 42.1116 sw_EHD loc1
2012-1-16 0.276035 theta_soil loc1
2012-1-16 0.0616645 dsc loc1
2012-1-16 0 infil2 loc2
2012-1-16 0 infil loc2
2012-1-16 0 toDistribute loc2
2012-1-16 0 dailySurplus loc2
2012-1-16 36.0437 availablePoreDepth loc2
2012-1-16 250 EHD loc2
2012-1-16 3569.32 SD loc2
2012-1-16 -3.81932 G loc2
2012-1-16 0.355825 theta_EHD loc2
2012-1-16 88.9563 sw_EHD loc2
2012-1-16 0.344309 theta_soil loc2
2012-1-16 0 dsc loc2
2012-1-16 0 infil2 loc3
2012-1-16 0 infil loc3
2012-1-16 0 toDistribute loc3
2012-1-16 0 dailySurplus loc3
2012-1-16 225 availablePoreDepth loc3
2012-1-16 500 EHD loc3
2012-1-16 3583.51 SD loc3
2012-1-16 -4.08351 G loc3
2012-1-16 0.45 theta_EHD loc3
2012-1-16 225 sw_EHD loc3
2012-1-16 0.449866 theta_soil loc3
2012-1-16 0 dsc loc3
2012-1-17 0 infil2 loc1
2012-1-17 0 infil loc1
2012-1-17 0 toDistribute loc1
2012-1-17 0 dailySurplus loc1
2012-1-17 7.88835 availablePoreDepth loc1
2012-1-17 111.111 EHD loc1
2012-1-17 2140.17 SD loc1
2012-1-17 -2.25128 G loc1
2012-1-17 0.379005 theta_EHD loc1
2012-1-17 42.1116 sw_EHD loc1
2012-1-17 0.276041 theta_soil loc1
2012-1-17 0.0616645 dsc loc1
2012-1-17 0 infil2 loc2
2012-1-17 0 infil loc2
2012-1-17 0 toDistribute loc2
2012-1-17 0 dailySurplus loc2
2012-1-17 36.0437 availablePoreDepth loc2
2012-1-17 250 EHD loc2
2012-1-17 3569.18 SD loc2
2012-1-17 -3.81918 G loc2
