date Q_m3d source
2012-6-4 0 lake
2012-6-5 27605.7 drain
2012-6-5 353316 overland
2012-6-5 28.1132 stream
2012-6-5 0 lake
2012-6-6 24269.5 drain
2012-6-6 352012 overland
2012-6-6 28.1285 stream
2012-6-6 0 lake
2012-6-7 42316.7 drain
2012-6-7 573265 overland
2012-6-7 28.1435 stream
2012-6-7 0 lake
2012-6-8 24744.5 drain
2012-6-8 339650 overland
2012-6-8 28.1585 stream
2012-6-8 0 lake
2012-6-9 24895.1 drain
2012-6-9 323649 overland
2012-6-9 28.1733 stream
2012-6-9 0 lake
2012-6-10 24649.4 drain
2012-6-10 321175 overland
2012-6-10 28.1879 stream
2012-6-10 0 lake
2012-6-11 67905.1 drain
2012-6-11 706868 overland
2012-6-11 28.2025 stream
2012-6-11 0 lake
2012-6-12 28542.8 drain
2012-6-12 351149 overland
2012-6-12 28.2169 stream
2012-6-12 0 lake
2012-6-13 28250.8 drain
2012-6-13 323862 overland
2012-6-13 28.2313 stream
2012-6-13 0 lake
2012-6-14 30885.5 drain
2012-6-14 343787 overland
2012-6-14 28.2454 stream
2012-6-14 0 lake
2012-6-15 27307.2 drain
2012-6-15 322457 overland
2012-6-15 28.2593 stream
2012-6-15 0 lake
2012-6-16 31291.1 drain
2012-6-16 304212 overland
2012-6-16 28.2732 stream
2012-6-16 0 lake
2012-6-17 33264.9 drain
2012-6-17 333060 overland
2012-6-17 28.2869 stream
2012-6-17 0 lake
2012-6-18 51263 drain
2012-6-18 599879 overland
2012-6-18 28.3006 stream
2012-6-18 0 lake
2012-6-19 30117.7 drain
2012-6-19 364673 overland
2012-6-19 28.3141 stream
2012-6-19 0 lake
2012-6-20 35878.7 drain
2012-6-20 360007 overland
2012-6-20 28.3275 stream
2012-6-20 0 lake
2012-6-21 29724.2 drain
2012-6-21 329820 overland
2012-6-21 28.3408 stream
2012-6-21 0 lake
2012-6-22 28316.7 drain
2012-6-22 298491 overland
2012-6-22 28.3538 stream
2012-6-22 0 lake
2012-6-23 27014.9 drain
2012-6-23 311346 overland
2012-6-23 28.3669 stream
2012-6-23 0 lake
2012-6-24 27191.4 drain
2012-6-24 323711 overland
2012-6-24 28.3799 stream
2012-6-24 0 lake
2012-6-25 33179 drain
2012-6-25 386542 overland
2012-6-25 28.3925 stream
2012-6-25 0 lake
2012-6-26 84120 drain
2012-6-26 902349 overland
2012-6-26 28.4053 stream
2012-6-26 0 lake
2012-6-27 44988.5 drain
2012-6-27 454214 overland
2012-6-27 28.418 stream
2012-6-27 0 lake
2012-6-28 35167.1 drain
2012-6-28 346532 overland
2012-6-28 28.4306 stream
2012-6-28 0 lake
2012-6-29 33850.4 drain
2012-6-29 344029 overland
2012-6-29 28.443 stream
2012-6-29 0 lake
2012-6-30 32762.4 drain
2012-6-30 328674 overland
2012-6-30 28.4551 stream
2012-6-30 0 lake
2012-7-1 80282.5 drain
2012-7-1 763944 overland
2012-7-1 28.4672 stream
2012-7-1 0 lake
2012-7-2 37628.5 drain
2012-7-2 386077 overland
2012-7-2 28.4793 stream
2012-7-2 0 lake
2012-7-3 71262.4 drain
2012-7-3 634578 overland
2012-7-3 28.4914 stream
2012-7-3 0 lake
2012-7-4 43300.1 drain
2012-7-4 358518 overland
2012-7-4 28.5034 stream
2012-7-4 0 lake
2012-7-5 39145.7 drain
2012-7-5 350686 overland
2012-7-5 28.5152 stream
2012-7-5 0 lake
2012-7-6 37758.7 drain
2012-7-6 374018 overland
2012-7-6 28.5268 stream
2012-7-6 0 lake
2012-7-7 34790.6 drain
2012-7-7 361162 overland
2012-7-7 28.5383 stream
2012-7-7 0 lake
2012-7-8 67132.1 drain
2012-7-8 590987 overland
2012-7-8 28.5497 stream
2012-7-8 0 lake
2012-7-9 40017.9 drain
2012-7-9 385570 overland
2012-7-9 28.5611 stream
2012-7-9 0 lake
2012-7-10 37894.1 drain
2012-7-10 394877 overland
2012-7-10 28.5724 stream
2012-7-10 0 lake
2012-7-11 44859.4 drain
2012-7-11 430936 overland
2012-7-11 28.5836 stream
2012-7-11 0 lake
2012-7-12 49958.2 drain
2012-7-12 416360 overland
2012-7-12 28.5946 stream
2012-7-12 0 lake
