date	q_ls
20.12.2014	49.6
21.12.2014	36.8
22.12.2014	42.5
23.12.2014	32
24.12.2014	26.6
25.12.2014	20.6
26.12.2014	17.1
27.12.2014	16.1
28.12.2014	13.7
29.12.2014	13.5
30.12.2014	14.6
31.12.2014	15.6
01.01.2015	43.1
02.01.2015	74.5
03.01.2015	25.8
04.01.2015	19.8
05.01.2015	17.8
06.01.2015	225
07.01.2015	427
08.01.2015	375
09.01.2015	97.4
10.01.2015	57.2
11.01.2015	45.3
12.01.2015	45.1
13.01.2015	46.1
14.01.2015	39.9
15.01.2015	66.3
16.01.2015	827
17.01.2015	197
18.01.2015	77.4
19.01.2015	56.5
20.01.2015	48.2
21.01.2015	42.7
22.01.2015	38.3
23.01.2015	34.6
24.01.2015	44.4
25.01.2015	35.1
26.01.2015	385
27.01.2015	212
28.01.2015	550
29.01.2015	365
30.01.2015	134
31.01.2015	81
01.02.2015	62.6
02.02.2015	50.7
03.02.2015	41.8
04.02.2015	32.2
05.02.2015	25.4
06.02.2015	24.8
07.02.2015	24.3
08.02.2015	21.2
09.02.2015	20.6
10.02.2015	20.3
11.02.2015	20.8
12.02.2015	19.8
13.02.2015	21
14.02.2015	34.2
15.02.2015	31.3
16.02.2015	22.4
17.02.2015	24.1
18.02.2015	231
19.02.2015	874
20.02.2015	412
21.02.2015	126
22.02.2015	71.6
23.02.2015	60.1
24.02.2015	241
25.02.2015	803
26.02.2015	249
27.02.2015	528
28.02.2015	207
01.03.2015	572
02.03.2015	720
03.03.2015	262
04.03.2015	131
05.03.2015	86.1
06.03.2015	114
07.03.2015	234
08.03.2015	298
09.03.2015	150
10.03.2015	187
11.03.2015	110
12.03.2015	78.4
13.03.2015	63.4
14.03.2015	51.2
15.03.2015	44
16.03.2015	41.6
17.03.2015	42.3
18.03.2015	46.8
19.03.2015	52
20.03.2015	53.5
21.03.2015	46.5
22.03.2015	37.2
23.03.2015	67.5
24.03.2015	60.6
25.03.2015	44.5
26.03.2015	38.9
27.03.2015	61.1
28.03.2015	142
29.03.2015	764
30.03.2015	648
31.03.2015	234
01.04.2015	131
02.04.2015	98.9
03.04.2015	81.2
04.04.2015	65.6
05.04.2015	54.3
06.04.2015	48.5
07.04.2015	51.3
08.04.2015	44.7
09.04.2015	37.4
10.04.2015	32.5
11.04.2015	31.3
12.04.2015	29.6
13.04.2015	22.6
14.04.2015	22.6
15.04.2015	22.6
16.04.2015	19.6
17.04.2015	16.1
18.04.2015	14.6
