date Q_m3d source
2012-4-16 0 lake
2012-4-17 11460.7 drain
2012-4-17 22774.9 overland
2012-4-17 2.7584 stream
2012-4-17 0 lake
2012-4-18 10616.9 drain
2012-4-18 28164.5 overland
2012-4-18 2.7103 stream
2012-4-18 0 lake
2012-4-19 9770.26 drain
2012-4-19 19308.9 overland
2012-4-19 2.7513 stream
2012-4-19 0 lake
2012-4-20 12880 drain
2012-4-20 27749.2 overland
2012-4-20 2.79176 stream
2012-4-20 0 lake
2012-4-21 10909.4 drain
2012-4-21 14979.4 overland
2012-4-21 2.9012 stream
2012-4-21 0 lake
2012-4-22 10453.2 drain
2012-4-22 18141.3 overland
2012-4-22 2.82928 stream
2012-4-22 0 lake
2012-4-23 12031.3 drain
2012-4-23 27157.1 overland
2012-4-23 2.91692 stream
2012-4-23 0 lake
2012-4-24 17164.7 drain
2012-4-24 35049.7 overland
2012-4-24 2.73169 stream
2012-4-24 0 lake
2012-4-25 11527.2 drain
2012-4-25 14972.9 overland
2012-4-25 2.90349 stream
2012-4-25 0 lake
2012-4-26 11997.2 drain
2012-4-26 22502 overland
2012-4-26 2.93246 stream
2012-4-26 0 lake
2012-4-27 16214.5 drain
2012-4-27 24195.6 overland
2012-4-27 2.85582 stream
2012-4-27 0 lake
2012-4-28 19414.9 drain
2012-4-28 52051 overland
2012-4-28 2.92818 stream
2012-4-28 0 lake
2012-4-29 12138.9 drain
2012-4-29 18352.5 overland
2012-4-29 2.86426 stream
2012-4-29 0 lake
2012-4-30 11361.2 drain
2012-4-30 4213.5 overland
2012-4-30 2.97142 stream
2012-4-30 0 lake
2012-5-1 10656.8 drain
2012-5-1 17129.4 overland
2012-5-1 2.94279 stream
2012-5-1 0 lake
2012-5-2 10090.6 drain
2012-5-2 5188.8 overland
2012-5-2 3.04682 stream
2012-5-2 0 lake
2012-5-3 9543.43 drain
2012-5-3 23569 overland
2012-5-3 2.91234 stream
2012-5-3 0 lake
2012-5-4 9164.54 drain
2012-5-4 26705 overland
2012-5-4 3.03909 stream
2012-5-4 0 lake
2012-5-5 9742.88 drain
2012-5-5 24811.7 overland
2012-5-5 2.99106 stream
2012-5-5 0 lake
2012-5-6 13714.3 drain
2012-5-6 24128.5 overland
2012-5-6 2.90612 stream
2012-5-6 0 lake
2012-5-7 10936.9 drain
2012-5-7 18659.6 overland
2012-5-7 3.06694 stream
2012-5-7 0 lake
2012-5-8 10135.5 drain
2012-5-8 19016.2 overland
2012-5-8 3.04617 stream
2012-5-8 0 lake
2012-5-9 9836.51 drain
2012-5-9 18845.8 overland
2012-5-9 3.11208 stream
2012-5-9 0 lake
2012-5-10 21875.2 drain
2012-5-10 47727.9 overland
2012-5-10 3.03776 stream
2012-5-10 0 lake
2012-5-11 15475.4 drain
2012-5-11 38584.5 overland
2012-5-11 3.16759 stream
2012-5-11 0 lake
2012-5-12 16525.7 drain
2012-5-12 24707.6 overland
2012-5-12 3.03179 stream
2012-5-12 0 lake
2012-5-13 13149.1 drain
2012-5-13 16745.1 overland
2012-5-13 3.03522 stream
2012-5-13 0 lake
2012-5-14 11713.7 drain
2012-5-14 7750.32 overland
2012-5-14 3.04631 stream
2012-5-14 0 lake
2012-5-15 10999 drain
2012-5-15 19077.7 overland
2012-5-15 3.02522 stream
2012-5-15 0 lake
2012-5-16 10294.5 drain
2012-5-16 20168.7 overland
2012-5-16 3.10103 stream
2012-5-16 0 lake
2012-5-17 11198.2 drain
2012-5-17 22153.4 overland
2012-5-17 3.07819 stream
2012-5-17 0 lake
2012-5-18 12489.6 drain
2012-5-18 21816.8 overland
2012-5-18 3.17157 stream
2012-5-18 0 lake
2012-5-19 10597.2 drain
2012-5-19 20316.3 overland
2012-5-19 3.07761 stream
2012-5-19 0 lake
2012-5-20 9957.37 drain
2012-5-20 19969.9 overland
2012-5-20 3.16828 stream
2012-5-20 0 lake
2012-5-21 15463.6 drain
2012-5-21 27643.3 overland
2012-5-21 3.15647 stream
2012-5-21 0 lake
2012-5-22 10835.6 drain
2012-5-22 17880.7 overland
2012-5-22 3.07681 stream
2012-5-22 0 lake
2012-5-23 10457.5 drain
2012-5-23 20296.2 overland
2012-5-23 3.17814 stream
2012-5-23 0 lake
2012-5-24 9932.7 drain
2012-5-24 19088.1 overland
2012-5-24 3.18735 stream
2012-5-24 0 lake
2012-5-25 9495.48 drain
2012-5-25 12581.8 overland
2012-5-25 3.11194 stream
2012-5-25 0 lake
2012-5-26 9063.96 drain
2012-5-26 31094.7 overland
