date value parameter land_use
2012-1-11 7.75309 availablePoreDepth loc1
2012-1-11 133.333 EHD loc1
2012-1-11 3761.71 SD loc1
2012-1-11 -3.89504 G loc1
2012-1-11 0.385626 theta_EHD loc1
2012-1-11 51.4166 sw_EHD loc1
2012-1-11 0.34552 theta_soil loc1
2012-1-11 0.441393 dsc loc1
2012-1-12 1.51291 infil2 loc3
2012-1-12 1.32811 Qd loc3
2012-1-12 1.51292 infil loc3
2012-1-12 0 toDistribute loc3
2012-1-12 1.51292 dailySurplus loc3
2012-1-12 225 availablePoreDepth loc3
2012-1-12 500 EHD loc3
2012-1-12 3781.26 SD loc3
2012-1-12 -4.27993 G loc3
2012-1-12 0.45 theta_EHD loc3
2012-1-12 225 sw_EHD loc3
2012-1-12 0.450117 theta_soil loc3
2012-1-12 0 dsc loc3
2012-1-12 0 infil2 loc2
2012-1-12 0 infil loc2
2012-1-12 0 toDistribute loc2
2012-1-12 0 dailySurplus loc2
2012-1-12 15.3649 availablePoreDepth loc2
2012-1-12 250 EHD loc2
2012-1-12 4302.66 SD loc2
2012-1-12 -4.55266 G loc2
2012-1-12 0.43854 theta_EHD loc2
2012-1-12 109.635 sw_EHD loc2
2012-1-12 0.300247 theta_soil loc2
2012-1-12 0 dsc loc2
2012-1-12 1.38063 infil2 loc1
2012-1-12 1.95431 infil loc1
2012-1-12 0 toDistribute loc1
2012-1-12 1.51292 dailySurplus loc1
2012-1-12 8.84987 availablePoreDepth loc1
2012-1-12 133.333 EHD loc1
2012-1-12 3739.14 SD loc1
2012-1-12 -3.87247 G loc1
2012-1-12 0.389928 theta_EHD loc1
2012-1-12 51.9903 sw_EHD loc1
2012-1-12 0.347974 theta_soil loc1
2012-1-12 0 dsc loc1
2012-1-13 2.58492 infil2 loc3
2012-1-13 2.16772 Qd loc3
2012-1-13 2.58491 infil loc3
2012-1-13 0 toDistribute loc3
2012-1-13 2.58491 dailySurplus loc3
2012-1-13 225 availablePoreDepth loc3
2012-1-13 500 EHD loc3
2012-1-13 3781.56 SD loc3
2012-1-13 -4.2794 G loc3
2012-1-13 0.45 theta_EHD loc3
2012-1-13 225 sw_EHD loc3
2012-1-13 0.450191 theta_soil loc3
2012-1-13 0 dsc loc3
2012-1-13 0 infil2 loc2
2012-1-13 0 infil loc2
2012-1-13 0 toDistribute loc2
2012-1-13 0 dailySurplus loc2
2012-1-13 18.2703 availablePoreDepth loc2
2012-1-13 250 EHD loc2
2012-1-13 4333.6 SD loc2
2012-1-13 -4.5836 G loc2
2012-1-13 0.426919 theta_EHD loc2
2012-1-13 106.73 sw_EHD loc2
2012-1-13 0.298103 theta_soil loc2
2012-1-13 0 dsc loc2
2012-1-13 1.77924 infil2 loc1
2012-1-13 2.58491 infil loc1
2012-1-13 0 toDistribute loc1
2012-1-13 2.58491 dailySurplus loc1
2012-1-13 8.27619 availablePoreDepth loc1
2012-1-13 133.333 EHD loc1
2012-1-13 3717.53 SD loc1
2012-1-13 -3.85086 G loc1
2012-1-13 0.395971 theta_EHD loc1
2012-1-13 52.796 sw_EHD loc1
2012-1-13 0.350476 theta_soil loc1
2012-1-13 0 dsc loc1
2012-1-14 2.90404 infil2 loc3
2012-1-14 2.59389 Qd loc3
2012-1-14 2.90404 infil loc3
2012-1-14 0 toDistribute loc3
2012-1-14 2.90404 dailySurplus loc3
2012-1-14 225 availablePoreDepth loc3
2012-1-14 500 EHD loc3
2012-1-14 3781.94 SD loc3
2012-1-14 -4.27934 G loc3
2012-1-14 0.45 theta_EHD loc3
2012-1-14 225 sw_EHD loc3
2012-1-14 0.450229 theta_soil loc3
2012-1-14 0 dsc loc3
2012-1-14 0 infil2 loc2
2012-1-14 0 infil loc2
2012-1-14 0 toDistribute loc2
2012-1-14 0 dailySurplus loc2
2012-1-14 21.1935 availablePoreDepth loc2
2012-1-14 250 EHD loc2
2012-1-14 4362.43 SD loc2
2012-1-14 -4.61243 G loc2
2012-1-14 0.415226 theta_EHD loc2
2012-1-14 103.806 sw_EHD loc2
2012-1-14 0.296132 theta_soil loc2
2012-1-14 0 dsc loc2
2012-1-14 2.15155 infil2 loc1
2012-1-14 2.90404 infil loc1
2012-1-14 0 toDistribute loc1
2012-1-14 2.90404 dailySurplus loc1
2012-1-14 7.47052 availablePoreDepth loc1
2012-1-14 133.333 EHD loc1
2012-1-14 3696.81 SD loc1
2012-1-14 -3.83014 G loc1
2012-1-14 0.401615 theta_EHD loc1
2012-1-14 53.5485 sw_EHD loc1
2012-1-14 0.353023 theta_soil loc1
2012-1-14 0 dsc loc1
2012-1-15 0 infil2 loc3
2012-1-15 0.509451 Qd loc3
2012-1-15 0 infil loc3
2012-1-15 0 toDistribute loc3
2012-1-15 0 dailySurplus loc3
2012-1-15 225 availablePoreDepth loc3
2012-1-15 500 EHD loc3
2012-1-15 3782.35 SD loc3
2012-1-15 -4.28184 G loc3
2012-1-15 0.45 theta_EHD loc3
2012-1-15 225 sw_EHD loc3
2012-1-15 0.450045 theta_soil loc3
2012-1-15 0 dsc loc3
2012-1-15 0 infil2 loc2
2012-1-15 0 infil loc2
2012-1-15 0 toDistribute loc2
2012-1-15 0 dailySurplus loc2
2012-1-15 21.1935 availablePoreDepth loc2
2012-1-15 250 EHD loc2
2012-1-15 4389.36 SD loc2
2012-1-15 -4.63936 G loc2
2012-1-15 0.415226 theta_EHD loc2
2012-1-15 103.806 sw_EHD loc2
2012-1-15 0.294316 theta_soil loc2
2012-1-15 0 dsc loc2
2012-1-15 1.43939 infil2 loc1
2012-1-15 0 infil loc1
2012-1-15 0 toDistribute loc1
2012-1-15 0 dailySurplus loc1
2012-1-15 6.71803 availablePoreDepth loc1
2012-1-15 133.333 EHD loc1
2012-1-15 3675.79 SD loc1
2012-1-15 -3.80912 G loc1
2012-1-15 0.390819 theta_EHD loc1
2012-1-15 52.1091 sw_EHD loc1
2012-1-15 0.355433 theta_soil loc1
2012-1-15 0 dsc loc1
2012-1-16 0 infil2 loc3
2012-1-16 0 infil loc3
2012-1-16 0 toDistribute loc3
2012-1-16 0 dailySurplus loc3
2012-1-16 225 availablePoreDepth loc3
2012-1-16 500 EHD loc3
2012-1-16 3782.78 SD loc3
2012-1-16 -4.28278 G loc3
2012-1-16 0.45 theta_EHD loc3
